time,mem_usage_ram,mem_usage_swap,net_fifo_n3_receive,net_fifo_n3_transmit,net_packets_eth0_received,net_packets_eth0_sent,net_packets_eth0_multicast,io_read,io_write,pgfaults_pgfault,pgfaults_swap,mem_anon,mem_kernel_stack,mem_slab,mem_sock,mem_anon_thp,mem_file,net_events_n3_frames,net_events_n3_collisions,net_events_n3_carrier,net_drops_n3_inbound,net_drops_n3_outbound,net_packets_n3_received,net_packets_n3_sent,net_packets_n3_multicast,mem_usage_limit_available,mem_usage_limit_used,cpu_user,cpu_system,net_n3_received,net_n3_sent,mem_utilization_utilization,cpu_limit_used,net_errors_n3_inbound,net_errors_n3_outbound
2025-07-07 14:17:46,285.0547,0,0,0,0,0,0,0,0.0,9.395104,0,20.40625,0.46875,165.5928,0.0039062,0,293.1445,0,0,0,0,0,68934.99,0,0,226.9453,285.0547,0.121155,1.3278305,612140.9,0,55,5.65,0,0
2025-07-07 14:17:47,285.0508,0,0,0,0,0,0,0,0.0,9.364222,0,20.40625,0.46875,165.5928,0.0039062,0,293.1445,0,0,0,0,0,68702.66,0,0,226.9492,285.0508,0.4316706,1.0195628,610079.1,0,55,5.9024,0,0
2025-07-07 14:17:48,285.0508,0,0,0,0,0,0,0,0.0,9.355887,0,20.40625,0.46875,165.5928,0.0039062,0,293.1445,0,0,0,0,0,68928.75,0,0,226.9492,285.0508,0.7310149,0.602493,612088.9,0,55,4.9736,0,0
2025-07-07 14:17:49,285.043,0,0,0,0,0,0,0,-2.439204,9.385024,0,20.40625,0.46875,165.5928,0.0039062,0,293.1445,0,0,0,0,0,68846.98,0,0,226.957,285.043,0.5577115,0.6671631,611362.0,0,55,4.8524,0,0
2025-07-07 14:17:50,285.0508,0,0,0,0,0,0,0,-1.5607955,9.362191,0,20.40625,0.46875,165.5928,0.0039062,0,293.1445,0,0,0,0,0,68932.41,0,0,226.9492,285.0508,0.150248,1.0707272,612118.5,0,55,4.9032,0,0
2025-07-07 14:17:51,285.0508,0,0,0,0,0,0,0,0.0,9.345661,0,20.40625,0.46875,165.5928,0.0039062,0,293.1445,0,0,0,0,0,68989.23,0,0,226.9492,285.0508,0.1993471,0.9918243,612624.5,0,55,4.6772,0,0
2025-07-07 14:17:52,285.0469,0,0,0,0,0,0,0,0.0,9.35301,0,20.40625,0.46875,165.5928,0.0039062,0,293.1445,0,0,0,0,0,68926.49,0,0,226.9531,285.0469,0.1275529,1.0599238,612067.8,0,55,4.7952,0,0
2025-07-07 14:17:53,285.0508,0,0,0,0,0,0,0,0.0,9.371702,0,20.40625,0.46875,165.5928,0.0039062,0,293.1445,0,0,0,0,0,68848.56,0,0,226.9492,285.0508,0.2428735,0.9248278,611375.4,0,55,4.5904,0,0
2025-07-07 14:17:54,285.0508,0,0,0,0,0,0,0,-2.438826,9.372554,0,20.40625,0.46875,165.5928,0.0039062,0,293.1445,0,0,0,0,0,69021.81,0,0,226.9492,285.0508,0.4239428,0.808762,612914.2,0,55,5.1512,0,0
2025-07-07 14:17:55,285.043,0,0,0,0,0,0,0,-1.5611742,9.352034,0,20.40625,0.46875,165.5928,0.0039062,0,293.1445,0,0,0,0,0,68984.73,0,0,226.957,285.043,0.4209435,0.8403914,612584.0,0,55,4.9776,0,0
2025-07-07 14:17:56,285.0508,0,0,0,0,0,0,0,0.0,9.386053,0,20.40625,0.46875,165.59291,0.0039062,0,293.1484,0,0,0,0,0,68961.79,0,0,226.9492,285.0508,0.9360486,0.3290957,612380.1,0,55,5.1128,0,0
2025-07-07 14:17:57,285.0469,0,0,0,0,0,0,0,0.0,9.402555,0,20.40625,0.46875,165.59291,0.0039062,0,293.1484,0,0,0,0,0,68883.23,0,0,226.9531,285.0469,0.7696277,0.5199931,611682.9,0,55,5.1852,0,0
2025-07-07 14:17:58,285.0469,0,0,0,0,0,0,0,0.0,9.376073,0,20.40625,0.46875,165.59291,0.0039062,0,293.1484,0,0,0,0,0,68963.58,0,0,226.9531,285.0469,0.6286803,0.5674005,612396.6,0,55,4.5284,0,0
